#time,flux,flux_err
2459718.633097573,0.99996347349302,0.0017388418
2459718.6344864382,0.9987763616125821,0.0017383451
2459718.6358753033,0.9995869278222486,0.0017389335
2459718.637264169,1.0010516695645422,0.001739325
2459718.6386530334,1.0000941938877614,0.0017386343
2459718.640041899,0.9993830855002206,0.001738213
2459718.641430764,1.0004591260061688,0.0017384941
2459718.642819629,0.996740976044042,0.0017369235
2459718.6442084946,1.000186452269038,0.0017379432
2459718.6455973596,1.000471826748937,0.0017393994
2459718.6469862247,1.0020422602797967,0.0017398781
2459718.6483750897,0.9981439449742778,0.0017374175
2459718.6497639553,1.0028785240161397,0.0017402482
2459718.651152821,0.9998022320673485,0.0017390817
2459718.652541686,0.9999173307736245,0.0017385943
2459718.653930551,1.0011004183225258,0.0017389674
2459718.655319416,1.0010030990960137,0.0017390234
2459718.6567082815,1.0013934599124255,0.0017396837
2459718.658097147,0.9966865868829066,0.0017377911
2459718.659486012,1.0017399001596756,0.001740534
2459718.6608748776,0.9985879494271258,0.0017391652
2459718.6622637426,0.9992595497193264,0.0017396647
2459718.6636526077,1.00116240298814,0.0017397732
2459718.665041473,1.002412911802174,0.001741
2459718.6664303383,0.9975163133983197,0.0017380964
2459718.667819204,1.00039270796804,0.0017389313
2459718.669208069,0.9973348492954391,0.0017368714
2459718.6705969344,1.002069783004661,0.0017407358
2459718.6719858,0.998943346028359,0.001740147
2459718.673374665,1.0007796546090981,0.0017399779
2459718.6747635305,1.001360720505467,0.0017398264
2459718.6761523956,1.0023059886514007,0.0017393234
2459718.677541261,1.0014649951517605,0.0017403914
2459718.6789301266,1.0007806963087225,0.001738647
2459718.680318992,0.9977416336270258,0.0017379904
2459718.681707857,1.0033408199399314,0.001741918
2459718.6830967227,1.0015834219787512,0.0017394979
2459718.684485588,0.9989898105310343,0.0017382125
2459718.6858744537,1.0006743584608244,0.0017374529
2459718.687263319,0.9988278095632563,0.0017390047
2459718.6886521843,1.000618338824509,0.001739912
2459718.69004105,0.9997799365580812,0.0017381754
2459718.6914299154,0.9978923479662984,0.0017383706
2459718.692818781,1.0006101330357298,0.0017382123
2459718.694207646,1.001387110644355,0.0017397387
2459718.6955965115,1.0004258187905675,0.0017382718
2459718.696985377,0.9983542292145627,0.001737829
2459718.6983742425,1.0012323360225628,0.0017399684
2459718.699763108,1.0003880504462215,0.0017392389
2459718.7011519736,1.0015554773085071,0.0017404624
2459718.702540839,0.9997255787118557,0.0017386505
2459718.7039297046,0.9997375430181682,0.0017389028
2459718.70531857,0.9987576553753756,0.0017383789
2459718.7067074357,0.9992314335095668,0.001739612
2459718.708096301,1.0012664206285613,0.0017394156
2459718.7094851667,1.0003932211739104,0.0017397528
2459718.710874032,1.0006475315667351,0.0017408903
2459718.7122628978,1.00003564676423,0.0017377461
2459718.7136517633,0.9989127678040235,0.0017382043
2459718.715040629,0.9976141865515292,0.0017364912
2459718.7164294943,0.9969309468265335,0.0017383094
2459718.71781836,0.999348311721926,0.0017383388
2459718.7192072254,1.0004842140195065,0.001738229
2459718.7205960914,0.9998435476155834,0.001738922
2459718.7219849564,1.0001725928872922,0.0017385238
2459718.7233738224,0.998544180731857,0.0017378341
2459718.724762688,0.997785015634974,0.0017380306
2459718.7261515534,1.0007053949218763,0.0017393552
2459718.727540419,0.9988044835718558,0.0017378967
2459718.7289292845,0.9970345906290201,0.0017370137
2459718.7303181505,0.9984721396374197,0.0017383025
2459718.731707016,1.001296287852988,0.0017404425
2459718.7330958815,1.0012709948016634,0.0017388267
2459718.7344847475,1.0002081241282343,0.0017395762
2459718.735873613,1.0018890526242599,0.0017392453
2459718.7372624786,1.00251753312735,0.0017401195
2459718.7386513446,1.0006042834369233,0.001738748
2459718.74004021,1.0000478273632043,0.001738689
2459718.7414290756,0.9986673173349913,0.0017392993
2459718.742817941,1.0000673216361322,0.0017392853
2459718.744206807,1.0011809418876036,0.0017387046
2459718.745595673,0.9988592476220687,0.0017376952
2459718.7469845386,1.001221134557318,0.0017390446
2459718.748373404,1.0025909100493824,0.001740633
2459718.74976227,1.0015092762711642,0.0017395146
2459718.7511511357,1.001339487022295,0.0017411583
2459718.7525400016,1.0011044035532595,0.0017407197
2459718.753928867,0.9999029014030131,0.0017385246
2459718.755317733,0.9975734265618006,0.001737643
2459718.756706599,0.9984100332286164,0.001738446
2459718.7580954647,0.999439777867761,0.0017403782
2459718.7594843307,1.003240669206637,0.0017411713
2459718.760873196,1.0032933100158452,0.0017414468
2459718.762262062,1.0009190262580145,0.0017406077
2459718.763650928,1.0002413676212811,0.0017396427
2459718.7650397937,0.9991227137140791,0.0017396063
2459718.7664286597,0.998107618298117,0.0017387677
2459718.767817525,1.0002111023848408,0.0017389298
2459718.769206391,0.9994917954750565,0.0017404058
2459718.770595257,0.9997236998076553,0.0017405663
2459718.7719841227,1.0006494928157175,0.0017413916
2459718.7733729887,1.0000673292875566,0.0017413301
2459718.7747618547,1.0021768621828215,0.0017429155
2459718.7761507207,1.0034645095826313,0.0017438633
2459718.7775395866,1.004033083895114,0.0017447795
2459718.778928452,0.9997515262910316,0.0017433102
2459718.780317318,1.000966391089906,0.0017432526
2459718.781706184,1.0005522430887832,0.001743844
2459718.78309505,1.0002595734459974,0.0017439419
2459718.784483916,0.9998675055327317,0.0017452204
2459718.7858727816,0.9987641707675543,0.0017447812
2459718.787261648,1.0003411208549833,0.0017462351
2459718.7886505136,0.9980345653490725,0.0017448114
2459718.7900393796,1.0000212946910292,0.0017476538
2459718.7914282456,0.9972067586568718,0.0017464556
2459718.7928171116,1.0009266535139738,0.001749546
2459718.7942059776,1.0016576288296708,0.0017507443
2459718.7955948436,0.9996000168645086,0.0017509839
2459718.7969837096,0.9989473814925747,0.0017508441
2459718.7983725755,1.0011421476638078,0.0017530925
2459718.7997614415,1.0023036848587124,0.0017549983
2459718.8011503075,0.9979582120534698,0.0017535093
2459718.8025391735,1.0036496057540107,0.0017577052
2459718.8039280395,0.9999191360378114,0.001756745
2459718.805316906,0.9990997397998305,0.0017582378
2459718.8067057715,0.9998250507378431,0.0017577905
2459718.808094638,0.9995899798295356,0.0017592644
2459718.809483504,1.000110236679176,0.0017612417
2459718.81087237,0.9991832153006391,0.0017618362
2459718.812261236,1.0017424306220764,0.001763683
2459718.813650102,0.9999861893620018,0.0017656939
2459718.8150389683,0.9998883394451892,0.0017656918
2459718.8164278343,0.9992511286077165,0.0017668285
2459718.8178167003,1.0010626745357327,0.0017699514
2459718.8192055663,0.9977414087253069,0.0017690996
2459718.8205944323,0.9974621595205332,0.0017696776
2459718.8219832988,1.0011167217372448,0.0017740412
2459718.8233721647,0.9991584518873055,0.0017761203
2459718.8247610307,1.0001613846301813,0.001775257
2459718.826149897,1.002066256935208,0.0017790023
2459718.827538763,0.9991531759014872,0.0017802245
2459718.828927629,1.0006840876287402,0.0017804235
2459718.8303164956,1.0014741476258255,0.0017812653
2459718.8317053616,1.0008745256940688,0.0017832605
2459718.833094228,0.9985661043994275,0.0017839744
2459718.834483094,0.9994460384560726,0.001786413
2459718.8358719605,0.9987644146071741,0.0017874945
