Name             Mj      Mj_err1 Mj_err2 Rj      Rj_err1 Rj_err2  P        e      e_err    Ms   Ms_err1 Ms_err2   Rs     Rs_err1 Rs_err2  Teff     T_err  FeH   FeH_err 
HIP33609b        68.00   7.40   7.10   1.580    0.074   0.070   39.47181 0.560   0.031   2.383  0.10    0.095   1.863   0.087   0.082   10400.0  800.0  -0.01  0.20   
LP261-75b        68.09   2.10   2.10   0.898    0.015   0.015   1.882    0.007   0.0     0.300  0.015   0.015   0.313   0.005   0.005   3100.0   50.0   0.0    0.0    
NGTS-19b         69.5    5.70  5.40    1.034    0.055   0.053   17.8397  0.3767  0.0061  0.807  0.038   0.043   0.896   0.040   0.035   4716.0   39.0   0.11   0.074  
TOI-2336b        69.9    2.3    2.3    1.05     0.04    0.04    7.71198  0.010   0.006   1.41   0.08    0.08    1.781   0.059   0.059   6550.0   100.0  0.0    0.03   
EPIC201702477b   70.90   2.60   2.40   0.830    0.040   0.036   40.73746 0.2282  0.0033  0.951  0.050   0.051   1.013   0.032   0.031   5542.0   62.0   0.014  0.033  
CoRoT-34b        71.40   8.90   8.60   1.09     0.17    0.16    2.11853  0.00    0.00    1.66   0.08    0.15    1.85    0.29    0.25    7820.0   160.0  -0.20  0.20   
TOI-2533b        72.0    3.00   3.00   0.850    0.040   0.030   6.6847   0.195   0.131   1.020  0.060   0.070   1.110   0.010   0.010   6180.0   80.0   -0.3   0.20   
NGTS-7Ab         75.5    3.00  13.00   1.380    0.140   0.130   0.675    0.0     0.0     0.24   0.03    0.03    0.61    0.06    0.06    3359     106    0.0    0.0       
TOI-148b         77.1    5.8    5.8    0.81     0.06    0.06    4.87     0.005   0.004   0.97   0.12    0.12    1.2     0.067   0.054   5900.0   140.0  -0.24  0.25   
TOI-2521b        77.5    3.3    3.3    1.01     0.04    0.04    5.56306  0.035   0.0     1.10   0.07    0.07    1.770   0.068   0.068   5600.0   100.0  -0.3   0.3    
Kepler-503b      78.6    3.1    3.1    0.96     0.06    0.04    7.25845  0.025   0.014   1.154  0.047   0.042   1.764   0.080   0.068   5670.0   100.0  0.169  0.046   
TOI-587b         79.9    5.30   5.10   1.377    0.043   0.040   8.04248  0.0     0.0     2.32   0.11    0.10    2.101   0.058   0.053   9780.0   200    0.00   0.10   
ZTFJ2020+5033    80.1    1.60   1.60   1.050    0.010   0.010   0.07928  0.0     0.0     0.134  0.004   0.004   0.176   0.002   0.002   2856.0   6.00   0.0    0.0    
KOI-189b         80.4    2.50   2.30   0.988    0.020   0.021   30.36    0.274   0.004   0.801  0.037   0.034   0.768   0.011   0.011   4973.0   84.0   0.04   0.14   
TOI-1712b        82.0    7.00   7.00   1.740    0.080   0.070   3.56663  0.090   0.072   1.630  0.010   0.020   3.100   0.070   0.100   6860.0   40.0   -0.2   0.10   
TOI-746b         82.2    4.9    4.9    0.95     0.09    0.09    10.98    0.20    0.0028  0.94   0.13    0.13    0.97    0.067   0.054   5690.0   140.0  -0.02  0.23   
TOI-4635b	84.0	2.1	2.0	1.02	0.019	0.019	12.27693 0.4906 0.0015  0.698	0.027	0.025	0.683	0.011	0.011	4555	 67	-0.091 0.039   
EBLMJ0555-57Ab 87.9    4.0    4.0     0.82   0.13 0.06  7.76     0.090  0.004    1.18  -0.08    0.08    1.00    -0.07   0.14    6368     124    -0.04  0.14
TOI-681b        88.7    2.5   2.3    1.52    0.25  0.15  15.78    0.093  0.022    1.54  -0.05  0.06    1.47   -0.04  0.04    7440   150   -0.08  0.05
