age(Gyr),M/MSun,logL/Lsun,Teff(K),logg,R/Rsun
0.1,0.0005,-7.411,235.0,2.991,0.1183
0.1,0.001,-6.918,310.0,3.274,0.1207
0.1,0.0015,-6.665,356.0,3.441,0.122
0.1,0.002,-6.498,391.0,3.559,0.123
0.1,0.0025,-6.362,422.0,3.653,0.1234
0.1,0.003,-6.226,456.0,3.73,0.1236
0.1,0.0035,-6.084,494.0,3.797,0.1237
0.1,0.004,-5.968,529.0,3.855,0.1236
0.1,0.0045,-5.861,562.0,3.907,0.1235
0.1,0.005,-5.761,596.0,3.955,0.1233
0.1,0.006,-5.579,663.0,4.037,0.1229
0.1,0.007,-5.418,729.0,4.107,0.1224
0.1,0.008,-5.276,793.0,4.168,0.1219
0.1,0.009,-5.144,857.0,4.222,0.1216
0.1,0.01,-4.999,931.0,4.268,0.1215
0.1,0.011,-4.772,1054.0,4.298,0.1232
0.1,0.0115,-4.55,1182.0,4.295,0.1264
0.1,0.012,-4.269,1361.0,4.277,0.1318
0.1,0.0125,-4.123,1464.0,4.274,0.1349
0.1,0.013,-4.134,1461.0,4.3,0.1337
0.1,0.0135,-4.239,1395.0,4.341,0.1299
0.1,0.014,-4.341,1333.0,4.38,0.1265
0.1,0.0145,-4.39,1306.0,4.408,0.1245
0.1,0.015,-4.396,1307.0,4.43,0.1236
0.1,0.0155,-4.389,1315.0,4.448,0.123
0.1,0.016,-4.373,1330.0,4.465,0.1226
0.1,0.0165,-4.353,1346.0,4.48,0.1223
0.1,0.017,-4.331,1365.0,4.495,0.122
0.1,0.0175,-4.307,1385.0,4.509,0.1219
0.1,0.018,-4.282,1406.0,4.522,0.1218
0.1,0.0185,-4.257,1427.0,4.534,0.1217
0.1,0.019,-4.232,1448.0,4.547,0.1216
0.1,0.0195,-4.207,1469.0,4.558,0.1215
0.1,0.02,-4.181,1491.0,4.569,0.1215
0.1,0.022,-4.082,1579.0,4.61,0.1216
0.1,0.024,-3.987,1665.0,4.646,0.1219
0.1,0.026,-3.898,1749.0,4.677,0.1223
0.1,0.028,-3.815,1831.0,4.705,0.1229
0.1,0.03,-3.737,1909.0,4.73,0.1237
0.1,0.033,-3.631,2019.0,4.763,0.125
0.1,0.035,-3.566,2088.0,4.781,0.1259
0.1,0.038,-3.477,2183.0,4.806,0.1276
0.1,0.04,-3.422,2242.0,4.82,0.1288
0.1,0.043,-3.349,2322.0,4.839,0.1307
0.1,0.045,-3.305,2370.0,4.849,0.132
0.1,0.048,-3.244,2434.0,4.864,0.1342
0.15,0.0005,-7.609,213.0,3.015,0.115
0.15,0.001,-7.096,282.0,3.292,0.1183
0.15,0.0015,-6.822,328.0,3.456,0.1199
0.15,0.002,-6.647,361.0,3.573,0.1211
0.15,0.0025,-6.506,391.0,3.665,0.1217
0.15,0.003,-6.396,416.0,3.742,0.122
0.15,0.0035,-6.281,445.0,3.809,0.122
0.15,0.004,-6.173,473.0,3.868,0.1218
0.15,0.0045,-6.06,506.0,3.921,0.1216
0.15,0.005,-5.966,534.0,3.968,0.1214
0.15,0.006,-5.796,590.0,4.052,0.1208
0.15,0.007,-5.642,647.0,4.123,0.1201
0.15,0.008,-5.502,703.0,4.186,0.1195
0.15,0.009,-5.371,760.0,4.241,0.1189
0.15,0.01,-5.239,821.0,4.29,0.1186
0.15,0.011,-4.991,942.0,4.322,0.1198
0.15,0.0115,-4.743,1074.0,4.32,0.1228
0.15,0.012,-4.462,1240.0,4.307,0.1273
0.15,0.0125,-4.401,1282.0,4.322,0.1277
0.15,0.013,-4.502,1224.0,4.36,0.1246
0.15,0.0135,-4.625,1156.0,4.399,0.1214
0.15,0.014,-4.675,1130.0,4.427,0.1198
0.15,0.0145,-4.69,1126.0,4.45,0.1187
0.15,0.015,-4.678,1136.0,4.469,0.1182
0.15,0.0155,-4.654,1154.0,4.485,0.1178
0.15,0.016,-4.638,1167.0,4.503,0.1174
0.15,0.0165,-4.609,1187.0,4.517,0.1172
0.15,0.017,-4.582,1207.0,4.532,0.117
0.15,0.0175,-4.556,1226.0,4.546,0.1167
0.15,0.018,-4.523,1250.0,4.559,0.1167
0.15,0.0185,-4.498,1269.0,4.572,0.1165
0.15,0.019,-4.472,1289.0,4.585,0.1164
0.15,0.0195,-4.444,1311.0,4.597,0.1163
0.15,0.02,-4.416,1332.0,4.608,0.1162
0.15,0.022,-4.313,1415.0,4.651,0.116
0.15,0.024,-4.216,1496.0,4.689,0.1159
0.15,0.026,-4.125,1576.0,4.724,0.116
0.15,0.028,-4.042,1653.0,4.754,0.1162
0.15,0.03,-3.96,1729.0,4.782,0.1165
0.15,0.033,-3.85,1838.0,4.819,0.1172
0.15,0.035,-3.785,1904.0,4.841,0.1176
0.15,0.038,-3.686,2006.0,4.869,0.1187
0.15,0.04,-3.627,2070.0,4.886,0.1194
0.15,0.043,-3.545,2159.0,4.908,0.1207
0.15,0.045,-3.494,2215.0,4.921,0.1216
0.15,0.048,-3.424,2291.0,4.938,0.1231
0.15,0.05,-3.381,2338.0,4.948,0.1242
0.15,0.053,-3.322,2402.0,4.962,0.1259
0.2,0.0005,-7.763,197.0,3.032,0.1128
0.2,0.001,-7.235,262.0,3.305,0.1165
0.2,0.0015,-6.948,307.0,3.468,0.1183
0.2,0.002,-6.759,341.0,3.583,0.1196
0.2,0.0025,-6.625,367.0,3.675,0.1203
0.2,0.003,-6.501,394.0,3.752,0.1207
0.2,0.0035,-6.406,416.0,3.818,0.1207
0.2,0.004,-6.307,440.0,3.877,0.1206
0.2,0.0045,-6.211,466.0,3.93,0.1203
0.2,0.005,-6.115,493.0,3.978,0.12
0.2,0.006,-5.951,543.0,4.062,0.1194
0.2,0.007,-5.804,593.0,4.134,0.1186
0.2,0.008,-5.67,643.0,4.198,0.1179
0.2,0.009,-5.544,693.0,4.254,0.1172
0.2,0.01,-5.405,752.0,4.303,0.1168
0.2,0.011,-5.162,862.0,4.338,0.1177
0.2,0.0115,-4.898,992.0,4.338,0.1203
0.2,0.012,-4.639,1135.0,4.332,0.1237
