age(Gyr),M/MSun,logL/Lsun,Teff(K),logg,R/Rsun
0.001,0.0005,-5.361,631.0,2.654,0.1743
0.001,0.001,-4.757,930.0,3.024,0.1609
0.001,0.0015,-4.403,1135.0,3.192,0.1625
0.001,0.002,-4.143,1302.0,3.296,0.1664
0.001,0.0025,-3.926,1452.0,3.365,0.1719
0.001,0.003,-3.748,1580.0,3.413,0.1781
0.001,0.0035,-3.604,1688.0,3.45,0.1843
0.001,0.004,-3.48,1785.0,3.481,0.1903
0.001,0.0045,-3.372,1869.0,3.505,0.1963
0.001,0.005,-3.279,1943.0,3.525,0.2022
0.001,0.006,-3.122,2068.0,3.555,0.2139
0.001,0.007,-2.997,2166.0,3.578,0.2252
0.001,0.008,-2.894,2245.0,3.595,0.236
0.001,0.009,-2.806,2312.0,3.608,0.2464
0.001,0.01,-2.729,2368.0,3.62,0.2563
0.001,0.011,-2.662,2418.0,3.63,0.2657
0.002,0.0005,-5.702,538.0,2.716,0.1622
0.002,0.001,-5.109,785.0,3.082,0.1507
0.002,0.0015,-4.759,958.0,3.253,0.1515
0.002,0.002,-4.502,1102.0,3.365,0.1537
0.002,0.0025,-4.294,1230.0,3.444,0.1569
0.002,0.003,-4.113,1349.0,3.503,0.1606
0.002,0.0035,-3.96,1456.0,3.55,0.1643
0.002,0.004,-3.829,1553.0,3.589,0.1681
0.002,0.0045,-3.713,1642.0,3.621,0.1718
0.002,0.005,-3.61,1724.0,3.648,0.1755
0.002,0.006,-3.435,1866.0,3.689,0.1833
0.002,0.007,-3.293,1983.0,3.72,0.1911
0.002,0.008,-3.175,2081.0,3.744,0.1988
0.002,0.009,-3.075,2163.0,3.763,0.2064
0.002,0.01,-2.989,2234.0,3.778,0.2137
0.002,0.011,-2.914,2294.0,3.791,0.2208
0.002,0.0115,-2.88,2322.0,3.797,0.2243
0.002,0.012,-2.847,2348.0,3.802,0.2277
0.002,0.0125,-2.817,2372.0,3.807,0.2311
0.002,0.013,-2.787,2396.0,3.812,0.2344
0.002,0.0135,-2.759,2418.0,3.816,0.2376
0.003,0.0005,-5.912,485.0,2.748,0.1565
0.003,0.001,-5.314,709.0,3.109,0.146
0.003,0.0015,-4.971,862.0,3.282,0.1464
0.003,0.002,-4.717,992.0,3.397,0.1481
0.003,0.0025,-4.505,1113.0,3.481,0.1505
0.003,0.003,-4.33,1219.0,3.544,0.1532
0.003,0.0035,-4.177,1319.0,3.595,0.156
0.003,0.004,-4.044,1412.0,3.638,0.1588
0.003,0.0045,-3.925,1499.0,3.674,0.1615
0.003,0.005,-3.819,1580.0,3.705,0.1643
0.003,0.006,-3.636,1725.0,3.754,0.1701
0.003,0.007,-3.485,1850.0,3.791,0.1761
0.003,0.008,-3.359,1956.0,3.82,0.1821
0.003,0.009,-3.252,2046.0,3.843,0.1881
0.003,0.01,-3.159,2125.0,3.862,0.1941
0.003,0.011,-3.078,2194.0,3.877,0.2
0.003,0.0115,-3.04,2226.0,3.884,0.2029
0.003,0.012,-3.005,2256.0,3.89,0.2057
0.003,0.0125,-2.971,2284.0,3.896,0.2086
0.003,0.013,-2.939,2311.0,3.901,0.2115
0.003,0.0135,-2.909,2336.0,3.906,0.2144
0.003,0.014,-2.879,2361.0,3.91,0.2173
0.003,0.0145,-2.851,2383.0,3.914,0.2199
0.003,0.015,-2.823,2406.0,3.917,0.2229
0.004,0.0005,-6.053,453.0,2.768,0.1528
0.004,0.001,-5.463,657.0,3.127,0.1429
0.004,0.0015,-5.124,798.0,3.302,0.1432
0.004,0.002,-4.875,917.0,3.418,0.1446
0.004,0.0025,-4.663,1030.0,3.504,0.1464
0.004,0.003,-4.487,1131.0,3.57,0.1487
0.004,0.0035,-4.338,1223.0,3.624,0.151
0.004,0.004,-4.205,1310.0,3.669,0.1532
0.004,0.0045,-4.087,1392.0,3.708,0.1554
0.004,0.005,-3.979,1471.0,3.742,0.1576
0.004,0.006,-3.791,1617.0,3.796,0.1621
0.004,0.007,-3.633,1745.0,3.838,0.1669
0.004,0.008,-3.5,1856.0,3.87,0.1718
0.004,0.009,-3.388,1952.0,3.897,0.1768
0.004,0.01,-3.291,2035.0,3.918,0.1819
0.004,0.011,-3.204,2110.0,3.936,0.1869
0.004,0.0115,-3.164,2145.0,3.943,0.1894
0.004,0.012,-3.126,2178.0,3.95,0.192
0.004,0.0125,-3.089,2210.0,3.956,0.1945
0.004,0.013,-3.054,2240.0,3.962,0.1972
0.004,0.0135,-3.019,2270.0,3.966,0.2
0.004,0.014,-2.984,2299.0,3.969,0.2029
0.004,0.0145,-2.949,2327.0,3.971,0.2061
0.004,0.015,-2.916,2354.0,3.972,0.2094
0.004,0.0155,-2.881,2381.0,3.971,0.2131
0.004,0.016,-2.846,2408.0,3.969,0.217
0.006,0.0005,-6.216,419.0,2.796,0.1481
0.006,0.001,-5.669,592.0,3.15,0.1392
0.006,0.0015,-5.334,717.0,3.325,0.1394
0.006,0.002,-5.086,824.0,3.443,0.1405
0.006,0.0025,-4.887,920.0,3.532,0.1418
0.006,0.003,-4.707,1014.0,3.601,0.1434
0.006,0.0035,-4.556,1100.0,3.658,0.1451
0.006,0.004,-4.427,1177.0,3.706,0.1468
0.006,0.0045,-4.311,1252.0,3.748,0.1484
0.006,0.005,-4.205,1324.0,3.784,0.15
0.006,0.006,-4.016,1461.0,3.845,0.1532
0.006,0.007,-3.853,1587.0,3.893,0.1566
0.006,0.008,-3.71,1705.0,3.932,0.16
0.006,0.009,-3.587,1808.0,3.964,0.1637
0.006,0.01,-3.481,1901.0,3.989,0.1676
0.006,0.011,-3.387,1982.0,4.01,0.1716
0.006,0.0115,-3.342,2022.0,4.019,0.1737
0.006,0.012,-3.298,2060.0,4.026,0.1759
0.006,0.0125,-3.252,2100.0,4.031,0.1785
0.006,0.013,-3.207,2139.0,4.034,0.1813
0.006,0.0135,-3.162,2177.0,4.036,0.1844
0.006,0.014,-3.113,2217.0,4.035,0.1881
0.006,0.0145,-3.063,2256.0,4.031,0.1922
0.006,0.015,-3.012,2296.0,4.025,0.1969
0.006,0.0155,-2.962,2334.0,4.017,0.202
0.006,0.016,-2.912,2370.0,4.008,0.2074
0.006,0.0165,-2.864,2404.0,3.998,0.213
0.008,0.0005,-6.33,397.0,2.815,0.1448
0.008,0.001,-5.812,550.0,3.165,0.1368
0.008,0.0015,-5.483,664.0,3.341,0.1369
0.008,0.002,-5.236,763.0,3.46,0.1379
0.008,0.0025,-5.039,851.0,3.549,0.139
0.008,0.003,-4.867,935.0,3.621,0.1403
0.008,0.0035,-4.713,1017.0,3.679,0.1416
0.008,0.004,-4.583,1091.0,3.729,0.143
0.008,0.0045,-4.468,1160.0,3.772,0.1443
0.008,0.005,-4.363,1227.0,3.811,0.1455
0.008,0.006,-4.176,1355.0,3.875,0.148
0.008,0.007,-4.014,1475.0,3.927,0.1506
0.008,0.008,-3.87,1588.0,3.97,0.1532
0.008,0.009,-3.74,1696.0,4.005,0.156
0.008,0.01,-3.626,1794.0,4.034,0.1591
0.008,0.011,-3.521,1886.0,4.057,0.1625
0.008,0.0115,-3.471,1930.0,4.066,0.1644
0.008,0.012,-3.419,1974.0,4.073,0.1667
0.008,0.0125,-3.365,2020.0,4.077,0.1694
0.008,0.013,-3.307,2069.0,4.077,0.1727
0.008,0.0135,-3.245,2120.0,4.074,0.1767
0.008,0.014,-3.18,2172.0,4.067,0.1813
0.008,0.0145,-3.115,2223.0,4.057,0.1866
0.008,0.015,-3.052,2271.0,4.046,0.1923
0.008,0.0155,-2.992,2316.0,4.034,0.1982
0.008,0.016,-2.936,2356.0,4.022,0.2041
0.008,0.0165,-2.885,2393.0,4.01,0.21
0.008,0.017,-2.836,2426.0,3.999,0.216
0.01,0.0005,-6.413,381.0,2.83,0.1423
0.01,0.001,-5.925,518.0,3.176,0.1351
0.01,0.0015,-5.599,625.0,3.352,0.1352
0.01,0.002,-5.353,718.0,3.471,0.1361
0.01,0.0025,-5.154,802.0,3.562,0.137
0.01,0.003,-4.987,880.0,3.634,0.1381
0.01,0.0035,-4.836,956.0,3.694,0.1392
0.01,0.004,-4.704,1027.0,3.745,0.1404
0.01,0.0045,-4.589,1093.0,3.789,0.1415
0.01,0.005,-4.485,1156.0,3.829,0.1425
0.01,0.006,-4.298,1278.0,3.896,0.1445
0.01,0.007,-4.136,1393.0,3.95,0.1466
0.01,0.008,-3.996,1500.0,3.996,0.1487
0.01,0.009,-3.866,1604.0,4.034,0.1509
0.01,0.01,-3.746,1706.0,4.066,0.1534
0.01,0.011,-3.631,1804.0,4.091,0.1564
0.01,0.0115,-3.573,1855.0,4.099,0.1583
0.01,0.012,-3.511,1907.0,4.105,0.1607
0.01,0.0125,-3.445,1963.0,4.106,0.1637
0.01,0.013,-3.372,2023.0,4.103,0.1676
0.01,0.0135,-3.295,2086.0,4.095,0.1724
0.01,0.014,-3.216,2148.0,4.083,0.1779
0.01,0.0145,-3.142,2205.0,4.07,0.1838
0.01,0.015,-3.072,2258.0,4.056,0.19
0.01,0.0155,-3.009,2305.0,4.043,0.1961
0.01,0.016,-2.953,2346.0,4.031,0.2019
0.01,0.0165,-2.902,2383.0,4.02,0.2076
0.01,0.017,-2.855,2416.0,4.01,0.2132
0.015,0.0005,-6.562,356.0,2.858,0.1378
0.015,0.001,-6.127,466.0,3.194,0.1324
0.015,0.0015,-5.802,562.0,3.37,0.1325
0.015,0.002,-5.56,644.0,3.49,0.1332
0.015,0.0025,-5.364,719.0,3.582,0.1339
0.015,0.003,-5.198,789.0,3.656,0.1347
0.015,0.0035,-5.052,855.0,3.718,0.1355
0.015,0.004,-4.92,920.0,3.77,0.1363
0.015,0.0045,-4.804,981.0,3.817,0.1371
0.015,0.005,-4.7,1039.0,3.858,0.1378
0.015,0.006,-4.515,1150.0,3.929,0.1392
0.015,0.007,-4.353,1256.0,3.987,0.1405
0.015,0.008,-4.211,1357.0,4.037,0.1419
0.015,0.009,-4.085,1451.0,4.079,0.1434
0.015,0.01,-3.965,1546.0,4.114,0.1451
0.015,0.011,-3.835,1652.0,4.141,0.1476
0.015,0.0115,-3.758,1715.0,4.149,0.1495
0.015,0.012,-3.668,1789.0,4.151,0.1524
0.015,0.0125,-3.569,1871.0,4.147,0.1563
0.015,0.013,-3.461,1958.0,4.135,0.1615
0.015,0.0135,-3.356,2042.0,4.119,0.1677
0.015,0.014,-3.261,2116.0,4.103,0.174
0.015,0.0145,-3.181,2179.0,4.088,0.18
0.015,0.015,-3.112,2233.0,4.076,0.1857
0.015,0.0155,-3.051,2279.0,4.065,0.1911
0.015,0.016,-2.999,2319.0,4.057,0.1961
0.015,0.0165,-2.955,2352.0,4.051,0.2004
0.015,0.017,-2.917,2381.0,4.048,0.2043
0.015,0.0175,-2.881,2408.0,4.044,0.2082
0.02,0.0005,-6.679,337.0,2.88,0.1344
0.02,0.001,-6.274,431.0,3.206,0.1305
0.02,0.0015,-5.957,518.0,3.382,0.1306
0.02,0.002,-5.719,592.0,3.503,0.1312
0.02,0.0025,-5.524,661.0,3.596,0.1318
0.02,0.003,-5.358,725.0,3.67,0.1325
0.02,0.0035,-5.215,786.0,3.733,0.1331
0.02,0.004,-5.085,845.0,3.787,0.1337
0.02,0.0045,-4.968,902.0,3.835,0.1342
0.02,0.005,-4.863,957.0,3.877,0.1347
0.02,0.006,-4.679,1060.0,3.951,0.1357
0.02,0.007,-4.518,1159.0,4.012,0.1366
0.02,0.008,-4.374,1254.0,4.064,0.1375
0.02,0.009,-4.246,1345.0,4.108,0.1386
0.02,0.01,-4.125,1436.0,4.146,0.1399
0.02,0.011,-3.987,1542.0,4.173,0.1422
0.02,0.0115,-3.895,1614.0,4.18,0.1443
0.02,0.012,-3.778,1706.0,4.178,0.1476
0.02,0.0125,-3.644,1814.0,4.168,0.1524
0.02,0.013,-3.51,1922.0,4.152,0.1585
0.02,0.0135,-3.393,2015.0,4.133,0.165
0.02,0.014,-3.297,2092.0,4.117,0.171
0.02,0.0145,-3.22,2153.0,4.106,0.1764
0.02,0.015,-3.157,2203.0,4.098,0.1811
0.02,0.0155,-3.105,2245.0,4.093,0.1852
0.02,0.016,-3.064,2278.0,4.091,0.1885
0.02,0.0165,-3.034,2305.0,4.094,0.1907
0.02,0.017,-3.015,2323.0,4.102,0.1918
0.02,0.0175,-3.005,2336.0,4.115,0.1919
0.02,0.018,-3.011,2339.0,4.135,0.19
0.02,0.0185,-3.027,2336.0,4.161,0.1871
0.02,0.019,-3.049,2329.0,4.189,0.1835
0.02,0.0195,-3.063,2326.0,4.212,0.181
0.02,0.02,-3.068,2329.0,4.23,0.1795
0.02,0.022,-3.057,2359.0,4.283,0.1771
0.02,0.024,-3.029,2399.0,4.322,0.1769
0.02,0.026,-2.992,2444.0,4.352,0.178
0.03,0.0005,-6.849,311.0,2.909,0.1299
0.03,0.001,-6.439,396.0,3.222,0.1282
0.03,0.0015,-6.159,465.0,3.397,0.1283
0.03,0.002,-5.933,528.0,3.518,0.1288
0.03,0.0025,-5.742,588.0,3.612,0.1293
0.03,0.003,-5.576,647.0,3.688,0.1298
0.03,0.0035,-5.432,701.0,3.752,0.1302
0.03,0.004,-5.305,753.0,3.808,0.1306
0.03,0.0045,-5.189,804.0,3.857,0.1309
0.03,0.005,-5.084,854.0,3.901,0.1312
0.03,0.006,-4.899,947.0,3.977,0.1317
0.03,0.007,-4.739,1037.0,4.041,0.1321
0.03,0.008,-4.596,1124.0,4.095,0.1326
0.03,0.009,-4.466,1209.0,4.143,0.1332
0.03,0.01,-4.337,1298.0,4.183,0.1341
0.03,0.011,-4.177,1412.0,4.21,0.1363
0.03,0.0115,-4.061,1496.0,4.214,0.1388
0.03,0.012,-3.906,1612.0,4.207,0.1429
0.03,0.0125,-3.731,1748.0,4.191,0.1485
0.03,0.013,-3.577,1872.0,4.172,0.1547
0.03,0.0135,-3.461,1965.0,4.157,0.1604
0.03,0.014,-3.38,2031.0,4.15,0.1648
0.03,0.0145,-3.328,2076.0,4.151,0.1675
0.03,0.015,-3.292,2109.0,4.157,0.1691
0.03,0.0155,-3.287,2120.0,4.175,0.1684
0.03,0.016,-3.306,2113.0,4.202,0.1658
0.03,0.0165,-3.344,2091.0,4.236,0.162
0.03,0.017,-3.375,2075.0,4.266,0.1589
0.03,0.0175,-3.385,2072.0,4.287,0.1574
0.03,0.018,-3.393,2072.0,4.307,0.156
0.03,0.0185,-3.391,2079.0,4.322,0.1553
0.03,0.019,-3.39,2085.0,4.338,0.1545
0.03,0.0195,-3.387,2093.0,4.353,0.1539
0.03,0.02,-3.379,2105.0,4.366,0.1536
0.03,0.022,-3.324,2167.0,4.403,0.1544
0.03,0.024,-3.271,2227.0,4.435,0.1554
0.03,0.026,-3.216,2287.0,4.461,0.157
0.03,0.028,-3.162,2345.0,4.483,0.1589
0.03,0.03,-3.104,2405.0,4.499,0.1615
0.04,0.0005,-6.978,292.0,2.93,0.1269
0.04,0.001,-6.551,374.0,3.234,0.1264
0.04,0.0015,-6.306,430.0,3.408,0.1267
0.04,0.002,-6.084,487.0,3.529,0.1273
0.04,0.0025,-5.902,540.0,3.623,0.1277
0.04,0.003,-5.739,593.0,3.7,0.1281
0.04,0.0035,-5.594,643.0,3.765,0.1284
0.04,0.004,-5.467,692.0,3.821,0.1286
0.04,0.0045,-5.352,739.0,3.871,0.1288
0.04,0.005,-5.246,785.0,3.916,0.1289
0.04,0.006,-5.061,872.0,3.994,0.1291
0.04,0.007,-4.901,955.0,4.059,0.1293
0.04,0.008,-4.758,1036.0,4.116,0.1295
0.04,0.009,-4.628,1116.0,4.165,0.1298
0.04,0.01,-4.492,1203.0,4.206,0.1305
0.04,0.011,-4.315,1322.0,4.234,0.1326
0.04,0.0115,-4.174,1419.0,4.235,0.1354
0.04,0.012,-3.987,1553.0,4.224,0.1401
0.04,0.0125,-3.792,1702.0,4.206,0.146
0.04,0.013,-3.641,1823.0,4.191,0.1515
0.04,0.0135,-3.542,1904.0,4.184,0.1555
0.04,0.014,-3.493,1948.0,4.19,0.1573
0.04,0.0145,-3.489,1957.0,4.21,0.1565
0.04,0.015,-3.516,1943.0,4.239,0.154
0.04,0.0155,-3.576,1903.0,4.277,0.1498
0.04,0.016,-3.619,1876.0,4.308,0.1468
0.04,0.0165,-3.641,1864.0,4.333,0.1449
0.04,0.017,-3.648,1864.0,4.353,0.1437
0.04,0.0175,-3.643,1873.0,4.369,0.1431
0.04,0.018,-3.636,1884.0,4.384,0.1426
0.04,0.0185,-3.625,1898.0,4.398,0.1423
0.04,0.019,-3.613,1912.0,4.411,0.1421
0.04,0.0195,-3.599,1929.0,4.423,0.142
0.04,0.02,-3.582,1947.0,4.434,0.1421
0.04,0.022,-3.51,2023.0,4.47,0.1429
0.04,0.024,-3.441,2097.0,4.5,0.1441
0.04,0.026,-3.374,2168.0,4.526,0.1457
0.04,0.028,-3.312,2234.0,4.548,0.1473
0.04,0.03,-3.25,2298.0,4.566,0.1494
0.04,0.033,-3.171,2383.0,4.591,0.1523
0.04,0.035,-3.122,2435.0,4.605,0.1543
0.06,0.0005,-7.164,266.0,2.958,0.1228
0.06,0.001,-6.704,346.0,3.251,0.1239
0.06,0.0015,-6.476,393.0,3.422,0.1247
0.06,0.002,-6.289,437.0,3.543,0.1253
0.06,0.0025,-6.121,480.0,3.637,0.1257
0.06,0.003,-5.958,527.0,3.714,0.126
0.06,0.0035,-5.823,569.0,3.78,0.1261
0.06,0.004,-5.692,613.0,3.837,0.1262
0.06,0.0045,-5.579,654.0,3.888,0.1262
0.06,0.005,-5.475,695.0,3.934,0.1262
0.06,0.006,-5.287,775.0,4.014,0.1261
0.06,0.007,-5.127,850.0,4.082,0.1259
0.06,0.008,-4.984,923.0,4.141,0.1258
0.06,0.009,-4.851,997.0,4.193,0.1257
0.06,0.01,-4.717,1076.0,4.236,0.1261
0.06,0.011,-4.513,1200.0,4.264,0.1281
0.06,0.0115,-4.333,1316.0,4.263,0.1311
0.06,0.012,-4.099,1475.0,4.246,0.1366
0.06,0.0125,-3.901,1621.0,4.229,0.1421
0.06,0.013,-3.793,1707.0,4.229,0.145
0.06,0.0135,-3.763,1735.0,4.244,0.1452
0.06,0.014,-3.818,1700.0,4.278,0.1421
0.06,0.0145,-3.913,1634.0,4.32,0.1379
0.06,0.015,-3.97,1597.0,4.352,0.1351
0.06,0.0155,-3.996,1583.0,4.377,0.1334
0.06,0.016,-4.0,1585.0,4.397,0.1325
0.06,0.0165,-3.994,1594.0,4.415,0.1319
0.06,0.017,-3.982,1608.0,4.431,0.1314
0.06,0.0175,-3.964,1626.0,4.445,0.1312
0.06,0.018,-3.945,1645.0,4.458,0.1311
0.06,0.0185,-3.924,1666.0,4.47,0.131
0.06,0.019,-3.903,1686.0,4.482,0.1309
0.06,0.0195,-3.882,1707.0,4.494,0.1309
0.06,0.02,-3.859,1730.0,4.504,0.1309
0.06,0.022,-3.768,1819.0,4.542,0.1315
0.06,0.024,-3.681,1906.0,4.574,0.1324
0.06,0.026,-3.6,1989.0,4.602,0.1335
0.06,0.028,-3.527,2065.0,4.626,0.1347
0.06,0.03,-3.456,2138.0,4.647,0.1362
0.06,0.033,-3.364,2236.0,4.674,0.1384
0.06,0.035,-3.309,2296.0,4.689,0.14
0.06,0.038,-3.234,2375.0,4.71,0.1425
0.06,0.04,-3.189,2423.0,4.721,0.1443
0.08,0.0005,-7.302,249.0,2.977,0.1202
0.08,0.001,-6.822,325.0,3.264,0.1221
0.08,0.0015,-6.583,372.0,3.432,0.1232
0.08,0.002,-6.412,409.0,3.552,0.124
0.08,0.0025,-6.259,446.0,3.646,0.1244
0.08,0.003,-6.117,483.0,3.724,0.1246
0.08,0.0035,-5.971,525.0,3.79,0.1247
0.08,0.004,-5.853,562.0,3.848,0.1247
0.08,0.0045,-5.74,600.0,3.899,0.1246
0.08,0.005,-5.637,637.0,3.946,0.1245
0.08,0.006,-5.452,710.0,4.028,0.1242
0.08,0.007,-5.29,780.0,4.097,0.1238
0.08,0.008,-5.148,848.0,4.157,0.1235
0.08,0.009,-5.015,916.0,4.21,0.1233
0.08,0.01,-4.873,994.0,4.255,0.1234
0.08,0.011,-4.658,1117.0,4.284,0.1252
0.08,0.0115,-4.452,1241.0,4.281,0.1284
0.08,0.012,-4.188,1415.0,4.263,0.134
0.08,0.0125,-4.01,1542.0,4.252,0.1384
0.08,0.013,-3.965,1580.0,4.266,0.1389
0.08,0.0135,-4.019,1546.0,4.299,0.1362
0.08,0.014,-4.124,1478.0,4.342,0.1321
0.08,0.0145,-4.2,1431.0,4.377,0.1292
0.08,0.015,-4.224,1420.0,4.401,0.1277
0.08,0.0155,-4.227,1421.0,4.421,0.1268
0.08,0.016,-4.218,1433.0,4.439,0.1263
0.08,0.0165,-4.203,1447.0,4.455,0.1259
0.08,0.017,-4.183,1465.0,4.47,0.1256
0.08,0.0175,-4.161,1484.0,4.483,0.1255
0.08,0.018,-4.139,1505.0,4.497,0.1254
0.08,0.0185,-4.116,1525.0,4.509,0.1253
0.08,0.019,-4.093,1546.0,4.521,0.1252
0.08,0.0195,-4.069,1567.0,4.532,0.1252
0.08,0.02,-4.045,1589.0,4.543,0.1252
0.08,0.022,-3.947,1680.0,4.583,0.1255
0.08,0.024,-3.854,1768.0,4.617,0.126
0.08,0.026,-3.767,1853.0,4.647,0.1267
0.08,0.028,-3.687,1934.0,4.673,0.1276
0.08,0.03,-3.611,2012.0,4.696,0.1286
0.08,0.033,-3.511,2118.0,4.726,0.1303
0.08,0.035,-3.449,2184.0,4.743,0.1316
0.08,0.038,-3.367,2273.0,4.766,0.1336
0.08,0.04,-3.317,2327.0,4.779,0.135
0.08,0.043,-3.249,2399.0,4.796,0.1373
0.08,0.045,-3.208,2443.0,4.805,0.1389
